ain't,is not
amn't,am not
aren't,are not
can't,cannot
'cause,because
could've,could have
couldn't,could not
couldn't've,could not have
daren't,dare not
daresn't,dare not
dasn't,dare not
didn't,did not
doesn't,does not
don't,do not
e'er,ever
everyone's,everyone is
finna,going to
gimme,give me
giv’n,given
gonna,going to
gon't,go not
gotta,got to
hadn't,had not
hasn't,has not
haven't,have not
he'd,he had
he'll,he will
he's,he has
he've,he have
how'd,how did
howdy,how do you do
how'll,how will
how're,how are
how's,how has
I'd,I had
I'll,I will
I'm,I am
I'm'a,I am about to
I'm'o,I am going to
I've,I have
isn't,is not
it'd,it would
it'll,it will
it's,it has
let's,let us
ma'am,madam
mayn't,may not
may've,may have
mightn't,might not
might've,might have
mustn't,must not
mustn't've,must not have
must've,must have
needn't,need not
ne'er,never
o'clock,of the clock
o'er,over
ol',old
oughtn't,ought not
shalln't,shall not
shan't,shall not
she'd,she had
she'll,she will
she's,she has
should've,should have
shouldn't,should not
shouldn't've,should not have
somebody's,somebody has
someone's,someone has
something's,something has
so're,so are
that'll,that will
that're,that are
that's,that has
that'd,that would
there'd,there had
there'll,there will
there're,there are
there's,there has
these're,these are
they'd,they had
they'll,they will
they're,they are
they've,they have
this's,this has
those're,those are
'tis,it is
'twas,it was
wasn't,was not
we'd,we had
we'd've,we would have
we'll,we will
we're,we are
we've,we have
weren't,were not
what'd,what did
what'll,what will
what're,what are/what were
what's,what has
what've,what have
when's,when has
where'd,where did
where're,where are
where's,where has
where've,where have
which's,which has
who'd,who would
who'd've,who would have
who'll,who will
whom'st,whom hast
whom'st'd've,whom hast had have
who're,who are
who's,who has
who've,who have
why'd,why did
why're,why are
why's,why has
won't,will not
would've,would have
wouldn't,would not
y'all,you all
y'all'd've,you all would have
you'd,you had
you'll,you will
you're,you are
you've,you have
noun's,noun is
noun(s)'re,noun(s) are
